Part	Value	Attributes	Package	Description	Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code	XREF
SOCKET	ZIFSOCKET-28-3ZIFFSOCKET-28-3		DIL28-3-ZIF_SOCKET	Lever-action ZIF socket for 28-pin ICs	4828-3004-CP	3M	ME	517-4828-3004-CP	IC & Component Sockets SOCKET 28POS .3"" IC OPEN FRAME	*	REF10
STANDOFF1	STAND-OFF		STAND-OFF	#4 Stand Off	2200	Keystone Electronics	ME	534-2201	Standoffs & Spacers HEX .250X.250 ALUM	*	REF33
STANDOFF2	STAND-OFF		STAND-OFF	#4 Stand Off	2200	Keystone Electronics	ME	534-2201	Standoffs & Spacers HEX .250X.250 ALUM	*	REF33
STANDOFF3	STAND-OFF		STAND-OFF	#4 Stand Off	2200	Keystone Electronics	ME	534-2201	Standoffs & Spacers HEX .250X.250 ALUM	*	REF33
STANDOFF4	STAND-OFF		STAND-OFF	#4 Stand Off	2200	Keystone Electronics	ME	534-2201	Standoffs & Spacers HEX .250X.250 ALUM	*	REF33
STANDOFF5	STAND-OFF		STAND-OFF	#4 Stand Off	9900	Keystone Electronics	ME	534-9900	Screws & Fasteners 4-40 X 1/4 SCREW	*	REF32
STANDOFF6	STAND-OFF		STAND-OFF	#4 Stand Off	9900	Keystone Electronics	ME	534-9900	Screws & Fasteners 4-40 X 1/4 SCREW	*	REF32
STANDOFF7	STAND-OFF		STAND-OFF	#4 Stand Off	9900	Keystone Electronics	ME	534-9900	Screws & Fasteners 4-40 X 1/4 SCREW	*	REF32
STANDOFF8	STAND-OFF		STAND-OFF	#4 Stand Off	9900	Keystone Electronics	ME	534-9900	Screws & Fasteners 4-40 X 1/4 SCREW	*	REF32
U1	ATMEGA328P_PDIP		DIL28-3	uC used in the Arduino	ATMEGA328P-PU	Microchip Technology / Atmel	ME	556-ATMEGA328P-PU	8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V	*	REF9
U2	DS1307		DIL08	DS1307	DS1307+	Maxim Integrated	ME	700-DS1307	Real Time Clock 64x8 Serial I2C RTC	*	REF11
Y1	16MHz		HC49US	Various standard crystals. Proven footprints.	HC49US-16.000MABJ-UB	Citizen FineDevice	ME	695-HC49US-16-U	Crystals 16MHz 18pF HC49S THROUGH HOLE	*	REF26
Y2	32.768		TC38H	CRYSTAL	AB38T-32.768KHZ	Abracon LLC	ME	815-AB38T-32.768KHZ	CRYSTAL 32.7680KHZ 12.5PF T/H	*	REF22
